League,GoalsNetIncome,GoalsWin,GoalsMax,BetAmountGoals,GOalsProfitPercent,GoalsBets,GoalsWinPercent,xGNetIncome,xGWin,xGMax,BetAmountxG,xGProfitPercent,xGBets,xGWinPercent,RegNetIncome,RegWin,RegMax,BetAmountReg,RegProfitPercent,RegBets,RegWinPercent,RFNetIncome,RFWin,RFMax,BetAmountRF,RFProfitPercent,RFBets,RFWinPercent,KCOFilter
SerieA2018,-248.23473985680002,5,120.60605109,910.842541729,-0.2725330981857636,18,0.2777777777777778,222.257253522,4,204.97388899,276.57844609,0.8035957127681468,7,0.5714285714285714,1246.98252105786,21,453.34987674,3355.465608433,0.37162726923021566,57,0.3684210526315789,921.7438086920001,12,610.97392999,2196.07224878,0.41972380881551746,44,0.2727272727272727,Greater than 2.04
SerieA2019,-401.2466709774,3,45.643058448,645.556900019,-0.6215512079037349,13,0.23076923076923078,-242.57891688,1,19.820563909999997,342.54525678,-0.7081660366875159,8,0.125,924.0245182644,20,636.3888226099999,2868.110937,0.322171819208261,50,0.4,641.7193942875,15,346.61516267,2160.06436288,0.29708345978723505,44,0.3409090909090909,Greater than 2.04
Bunde2018,-184.27323068690004,5,154.54272848799997,960.848599444,-0.19178175499608438,16,0.3125,-122.49461759725,0,-21.208189717249994,155.321459851,-0.7886522423543997,4,0,640.9736875607,14,252.13153463999998,2365.950830961,0.2709158952810316,34,0.4117647058823529,705.8211124303999,9,384.77170015999997,1096.958770708,0.6434344947849301,22,0.4090909090909091,Greater than 2.05
Bunde2019,7336.833857014401,43,954.7052364400001,4480.385580963,1.6375451899024824,68,0.6323529411764706,7262.051475515,38,836.9708263299999,3696.76328154,1.9644350807579352,61,0.6229508196721312,7439.1711947257,39,685.0139373100001,3635.325292184,2.046356404671687,55,0.7090909090909091,6440.5045214028005,32,859.8844806000001,2841.278054185,2.2667631954980245,47,0.6808510638297872,Greater than 2.05
LaLiga2018,129.49926475110001,3,70.7580911272,287.596462418,0.4502811462363626,5,0.6,-179.900269184,1,36.375888190000005,251.392270474,-0.7156157539959289,7,0.14285714285714285,2081.1209815344,29,316.25381169,3255.930637176,0.6391785370893037,48,0.6041666666666666,1111.4928930011101,17,238.95054469299998,1953.248663217,0.5690483315987436,35,0.4857142857142857,Greater than 2.05
LaLiga2019,3655.8724998377998,20,1304.09469679,2557.177291116,1.429651558591117,42,0.47619047619047616,1024.1733121912,11,536.63998173,2011.40476904,0.5091830982781331,41,0.2682926829268293,2854.0103162587,27,772.97574027,3602.169022223,0.7923032757905986,51,0.5294117647058824,2558.989957292,21,640.33293301,2600.326398511,0.984103364391997,49,0.42857142857142855,Greater than 2.05
Ligue12018,-76.92615123750997,3,168.0798928217,496.904804476,-0.1548106408804615,8,0.375,53.36915434000001,1,87.19087705000001,78.35047940000001,0.6811592570804359,2,0.5,2412.0575086237,25,740.8537797699998,2710.780255562,0.8898019319989592,39,0.6410256410256411,1447.971720665,18,384.87735297,2110.683053733,0.6860204416310093,38,0.47368421052631576,Greater than 2.05
Ligue12019,43.84635801660005,6,280.937063605,1375.052377271,0.03188704571648376,23,0.2608695652173913,-8.497493004399999,1,97.922068564,195.92545869399999,-0.043371050710012835,4,0.25,1843.5196630465,23,301.356587405,2804.409662806,0.657364609563474,40,0.575,555.0238305529501,10,342.50477991,1395.167574365,0.3978187572238876,24,0.4166666666666667,Greater than 2.05
PL2018,-479.9814534816,0,-14.000351306600002,641.9565954,-0.747685212553235,9,0,-238.35638198750001,1,1.6917727024999962,294.2896079,-0.8099381547597624,7,0.14285714285714285,2164.11938812207,28,453.54780455,3120.269137622,0.6935681803946486,51,0.5490196078431373,2208.83976415321,25,627.24484271,2573.782201413,0.8582077236141281,46,0.5434782608695652,Greater than 2.05
PL2019,14.268372091000025,2,65.62376895000001,234.64815817,0.06080751795487245,4,0.5,260.99967622700007,3,311.167713255,423.57130055799996,0.6161882919904323,11,0.2727272727272727,2393.065615084,27,406.13738888499995,3147.043401154,0.7604170994929649,53,0.5094339622641509,1103.952568615,19,399.86665619999997,2447.119620111,0.4511232550883333,49,0.3877551020408163,Greater than 2.05
SerieA2018,-183.44031260510002,4,120.60605109,674.670560097,-0.27189612746512326,13,0.3076923076923077,252.41157775200003,4,204.97388899,246.42412186,1.0242973611787958,6,0.6666666666666666,1420.93405589836,19,453.34987674,2853.399337056,0.4979793881092056,46,0.41304347826086957,954.729389962,12,610.97392999,2163.08666751,0.44137361868214936,43,0.27906976744186046,Greater than 2.05
SerieA2019,-238.65959333439997,3,45.643058448,482.96982237599997,-0.4941501151361783,10,0.3,-178.35213047000002,1,19.820563909999997,278.31847037,-0.6408203172175261,6,0.16666666666666666,996.7636203538999,17,636.3888226099999,2420.02360077,0.4118817767052978,41,0.4146341463414634,363.63348649450006,11,346.61516267,1724.943508899,0.21080892482479074,34,0.3235294117647059,Greater than 2.05
Bunde2018,-436.590349058,2,89.201898228,799.347131117,-0.5461836692250498,13,0.15384615384615385,-90.32296132725,0,-21.208189717249994,123.14980358099999,-0.7334397514312021,3,0,582.1292114263,13,252.13153463999998,2101.137396455,0.2770543289593806,28,0.4642857142857143,658.0467824903999,6,384.77170015999997,885.824315498,0.7428637608806817,17,0.35294117647058826,Greater than 2.06
Bunde2019,7132.04329478695,39,954.7052364400001,4068.876649897,1.7528285835274686,60,0.65,7396.031137557599,38,836.9708263299999,3534.663701282,2.092428520109312,58,0.6551724137931034,7202.8318660317,37,685.0139373100001,3544.630979065,2.0320399806277316,53,0.6981132075471698,6381.0776923639005,29,859.8844806000001,2516.343728971,2.535852959553063,40,0.725,Greater than 2.06
LaLiga2018,84.3310711332,2,70.7580911272,175.04861354,0.4817580066918364,3,0.6666666666666666,-78.04807889,0,-37.937509289999994,78.04807889,-1,2,0,1979.9421656934,26,316.25381169,2977.686634073,0.6649263032037577,43,0.6046511627906976,1131.7821912231102,15,238.95054469299998,1756.509602417,0.6443358975469023,31,0.4838709677419355,Greater than 2.06
LaLiga2019,3525.8647757278,16,1304.09469679,2154.719501256,1.6363451361871233,34,0.47058823529411764,1200.0432972388,10,536.63998173,1726.845976462,0.6949336035733049,34,0.29411764705882354,2692.0023633097,22,772.97574027,3060.755160811,0.8795222818790925,42,0.5238095238095238,2476.286825176,17,640.33293301,2194.316793526,1.1285001475091976,40,0.425,Greater than 2.06
Ligue12018,58.695915002700026,3,168.0798928217,336.72286569,0.174315203936099,5,0.6,NA,NA,NA,NA,NA,NA,NA,2429.0463574673,19,740.8537797699998,2069.46788529,1.1737540721135236,29,0.6551724137931034,992.2259382876,13,384.87735297,1842.556886445,0.5385049143323792,32,0.40625,Greater than 2.06
Ligue12019,204.12419490860006,5,280.937063605,1054.7792835779999,0.19352313615429978,17,0.29411764705882354,8.953205524000005,1,97.922068564,149.14831267,0.060028875712523376,3,0.3333333333333333,1618.3029717387,19,301.356587405,2462.444477034,0.6571936897793271,34,0.5588235294117647,571.8788019427501,7,342.50477991,1050.233100323,0.5445255931915195,17,0.4117647058823529,Greater than 2.06
PL2018,-479.9814534816,0,-14.000351306600002,641.9565954,-0.747685212553235,9,0,-163.76659850750002,1,1.6917727024999962,219.69982442,-0.7454106936126973,5,0.2,2131.9193814599003,24,453.54780455,2752.957032739,0.7744106995156366,44,0.5454545454545454,1524.1959908582,17,627.24484271,2043.092714195,0.7460238981170021,35,0.4857142857142857,Greater than 2.06
PL2019,49.08943598100002,2,65.62376895000001,199.82709427999998,0.24565955962015515,3,0.6666666666666666,391.82425848500003,3,311.167713255,292.7467183,1.338441164295026,7,0.42857142857142855,1994.293326452,21,406.13738888499995,2592.761054432,0.7691774461989104,41,0.5121951219512195,1157.7479211455,17,399.86665619999997,2144.784554422,0.5397968382225238,41,0.4146341463414634,Greater than 2.06
SerieA2018,-235.904028347,1,120.60605109,437.01371099700003,-0.5398092151589711,8,0.125,148.646256322,3,204.97388899,209.45616116,0.709677173012121,5,0.6,1414.3649582372,18,453.34987674,2664.141768372,0.5308895251101776,43,0.4186046511627907,999.7236584670001,10,610.97392999,1905.686295575,0.5246003294395077,36,0.2777777777777778,Greater than 2.06
SerieA2019,-198.9880766764,2,45.643058448,398.979185346,-0.49874300210381883,8,0.25,-198.17269438,0,-14.579183980000003,236.73973653000002,-0.8370909644688536,5,0,1023.0952347599,14,636.3888226099999,2068.457995793,0.49461736077829727,33,0.42424242424242425,287.57642738500004,7,346.61516267,1309.3877253800001,0.21962664061291845,25,0.28,Greater than 2.06
Bunde2018,-329.53822016099997,2,89.201898228,692.29500222,-0.4760083766375048,11,0.18181818181818182,-69.11477160999999,0,-32.83525487,69.11477160999999,-1,2,0,484.02949196239996,10,252.13153463999998,1764.27675341,0.2743500933325036,23,0.43478260869565216,619.4656998829998,4,384.77170015999997,607.125533567,1.0203255597627372,11,0.36363636363636365,Greater than 2.07
Bunde2019,7041.44015572095,38,954.7052364400001,3997.419493865,1.7614964270144104,59,0.6440677966101694,7392.7175730996,37,836.9708263299999,3315.274693564,2.229895938171039,53,0.6981132075471698,6904.8220729411005,34,685.0139373100001,3278.348183216,2.106189363378601,49,0.6938775510204082,5923.6487962415,26,859.8844806000001,2344.386042046,2.526737785502167,37,0.7027027027027027,Greater than 2.07
LaLiga2018,-52.46883579,0,-52.46883579,52.46883579,-1,1,0,-37.937509289999994,0,-37.937509289999994,37.937509289999994,-1,1,0,1708.9675410453,22,316.25381169,2603.483929467,0.656415628958835,36,0.6111111111111112,659.0195089135001,11,211.34100174999998,1409.549092123,0.46753923832543803,24,0.4583333333333333,Greater than 2.07
LaLiga2019,3612.3564205518,16,1304.09469679,1996.404112336,1.8094314664203772,31,0.5161290322580645,1332.2367587528,10,536.63998173,1546.365150792,0.8615279244171209,30,0.3333333333333333,2606.2576146869,21,772.97574027,2957.12622619,0.8813481114212822,40,0.525,2388.9318075715,14,640.33293301,1835.587061536,1.3014538278410326,32,0.4375,Greater than 2.07
Ligue12018,-76.22983708899999,1,3.625236531000013,144.81542101,-0.5263930909936453,2,0.5,NA,NA,NA,NA,NA,NA,NA,2451.4809772873,19,740.8537797699998,2015.36190196,1.2163973998432545,28,0.6785714285714286,1037.5380296396002,12,384.87735297,1568.463252303,0.661499737476263,26,0.46153846153846156,Greater than 2.07
Ligue12019,248.29073210900006,4,280.937063605,859.715285292,0.28880576669596936,13,0.3076923076923077,-48.72454518,0,-48.72454518,48.72454518,-1,1,0,1318.3236743867,15,301.356587405,2110.175023309,0.6247461276076594,28,0.5357142857142857,688.1148319595001,7,342.50477991,903.11405157,0.7619356943491922,14,0.5,Greater than 2.07
PL2018,-435.8116510716,0,-14.000351306600002,597.78679299,-0.7290419530544738,8,0,-163.76659850750002,1,1.6917727024999962,219.69982442,-0.7454106936126973,5,0.2,1742.0510725787,19,453.54780455,2451.492568699,0.7106083431871064,39,0.48717948717948717,1155.5060336967,13,627.24484271,1843.290559675,0.6268713457201415,31,0.41935483870967744,Greater than 2.07
