Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
37,Stoke City,Crystal Palace,1,2,0.5,1.5
37,Watford,Newcastle Utd,2,1,2.3,0.6
37,West Brom,Tottenham,1,0,2,1.2
37,Bournemouth,Swansea City,1,0,2.1,1.3
37,Leicester City,West Ham,0,2,0.5,1.2
37,Everton,Southampton,1,1,0.3,0.6
37,Manchester City,Huddersfield,0,0,0.9,0.4
37,Arsenal,Burnley,5,0,2.2,0.4
37,Chelsea,Liverpool,1,0,0.7,0.8
31,Swansea City,Southampton,0,1,0.5,1.3
31,Leicester City,Arsenal,3,1,1.9,1.8
35,Chelsea,Huddersfield,1,1,2.4,0.4
31,Manchester City,Brighton,3,1,1.4,0.8
31,Tottenham,Newcastle Utd,1,0,0.9,1
31,West Ham,Manchester Utd,0,0,0.9,0.8
38,Burnley,Bournemouth,1,2,0.7,1.3
38,Liverpool,Brighton,4,0,3.1,0.1
38,Newcastle Utd,Chelsea,3,0,1.9,0.9
38,West Ham,Everton,3,1,1,1.7
38,Crystal Palace,West Brom,2,0,2.1,0.2
38,Southampton,Manchester City,0,1,0.5,1.2
38,Huddersfield,Arsenal,0,1,1.6,2
38,Tottenham,Leicester City,5,4,1.9,1.3
38,Manchester Utd,Watford,1,0,0.8,0.6
38,Swansea City,Stoke City,1,2,3,1.5
