HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Huesca,Sevilla,2,6,A,24,10,4,7,10,9,7,5,2,1,0,0,3.5,3.4,2.1
Rayo Vallecano,Villarreal,3,2,H,24,15,11,7,9,14,8,3,0,3,0,0,1.7,4,4.75
Valencia,Athletic Club,1,0,H,10,9,3,1,14,22,1,3,5,5,0,0,2.9,3.1,2.6
Athletic Club,Celta Vigo,3,1,H,8,3,4,2,16,18,3,3,4,3,0,0,2,3.5,3.8
Atlético Madrid,Real Madrid,1,1,D,11,11,4,5,16,12,5,7,5,4,0,0,2.1,3.6,3.4
Barcelona,Getafe,2,0,H,13,11,8,0,9,13,4,3,1,3,0,0,1.53,4.33,6
Betis,Huesca,2,1,H,17,9,8,2,13,15,9,2,3,5,0,1,1.55,4.33,5.75
Girona,Levante,1,2,A,14,6,6,2,15,16,9,2,2,3,0,0,2.15,3.6,3.2
Leganés,Espanyol,0,2,A,11,19,4,7,11,9,6,7,4,1,1,0,2.4,3.5,2.87
Real Sociedad,Rayo Vallecano,3,1,H,19,6,7,2,12,16,5,2,1,2,0,1,3,3.6,2.3
Sevilla,Alavés,3,1,H,10,10,4,3,9,14,7,4,2,5,0,0,1.4,5,7.5
Valladolid,Valencia,1,2,A,16,9,5,6,13,9,4,2,2,2,0,0,4.2,3.8,1.8
Villarreal,Eibar,1,0,H,11,4,3,0,11,14,5,3,3,2,0,0,1.6,4.33,5
Alavés,Girona,2,1,H,14,13,7,4,13,10,6,4,3,3,0,0,2.25,3.5,3.1
Celta Vigo,Valladolid,2,2,D,14,11,5,4,16,20,3,5,0,4,0,0,1.45,4.75,7
Espanyol,Real Sociedad,2,0,H,9,11,4,2,13,13,4,5,3,2,0,0,2.3,3.6,3
Getafe,Villarreal,2,2,D,17,8,5,4,16,20,6,4,2,3,0,0,1.61,4.2,5.25
Huesca,Leganés,2,1,H,15,9,6,1,18,12,4,6,0,1,0,0,2.5,3.75,2.62
Levante,Atlético Madrid,2,2,D,17,17,7,8,9,7,6,4,0,1,0,1,3.75,3.75,1.95
Real Madrid,Athletic Club,2,0,H,9,9,3,1,14,19,2,3,4,2,0,0,1.85,3.4,4.33
Valencia,Sevilla,0,2,A,19,9,4,6,12,10,8,2,1,3,0,0,8,5.25,1.36
Eibar,Barcelona,2,2,D,15,6,8,3,11,3,5,2,4,2,0,0,3.6,4,1.9
Rayo Vallecano,Betis,0,2,A,9,9,2,7,17,11,1,5,4,1,0,0,1.57,4.75,4.75
