HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Dortmund,Eint Frankfurt,3,2,H,13,10,4,3,17,10,5,8,3,3,0,0,1.75,3.6,5
Stuttgart,RB Leipzig,0,0,D,12,8,2,3,16,12,3,5,0,2,0,0,2.62,3.39,2.62
Werder Bremen,Freiburg,3,1,H,13,8,6,2,14,12,7,3,0,3,0,0,1.83,3.75,4.2
Hamburger SV,Stuttgart,1,2,A,7,10,2,5,10,9,1,3,2,1,0,0,2.62,3.2,2.79
Augsburg,Werder Bremen,1,3,A,15,20,6,12,13,15,8,7,2,1,0,0,2.5,3.1,3.1
Eint Frankfurt,Mainz 05,3,0,H,15,13,6,1,9,9,4,6,0,1,0,0,1.61,3.79,6
Hannover 96,Hoffenheim,1,2,A,9,16,3,9,12,14,1,6,1,3,0,0,2.54,3,3
M'Gladbach,Köln,3,3,D,23,13,7,6,11,15,9,3,0,1,0,0,2.75,3.39,2.54
Wolfsburg,Schalke 04,0,1,A,17,10,3,2,12,18,5,2,0,1,0,0,3.5,3.25,2.2
Dortmund,Hertha BSC,1,0,H,25,8,9,4,14,10,12,2,2,1,0,0,1.44,4.75,7
Freiburg,Leverkusen,2,0,H,7,10,3,3,15,7,2,2,3,1,0,1,5,3.75,1.72
RB Leipzig,Bayern Munich,2,1,H,16,9,6,2,16,14,3,6,3,4,0,0,5,4.33,1.6
Bayern Munich,Dortmund,6,0,H,17,9,9,3,4,7,2,1,1,1,0,0,1.36,5,8
Hertha BSC,RB Leipzig,2,3,A,13,15,3,5,16,16,6,3,3,4,0,0,3.89,3.6,1.95
Hoffenheim,Wolfsburg,0,0,D,9,9,2,1,15,12,4,5,1,3,0,1,2.04,3.29,3.6
Köln,Freiburg,6,0,H,18,4,11,1,13,10,4,8,1,0,0,0,1.53,4.5,5.75
Leverkusen,Augsburg,0,0,D,18,7,2,2,4,10,5,1,0,2,0,0,1.44,4.5,6.5
Schalke 04,Hamburger SV,2,0,H,16,6,7,0,19,16,2,2,2,2,0,1,1.55,3.79,6.5
Stuttgart,Hannover 96,1,1,D,11,8,4,6,15,12,3,7,1,1,0,0,1.72,3.6,4.75
Mainz 05,M'Gladbach,0,0,D,14,11,5,2,14,8,7,6,0,1,0,0,2.45,3.39,2.75
Werder Bremen,Eint Frankfurt,2,1,H,11,11,6,6,16,9,6,3,2,0,0,0,2.37,3.25,3
Hertha BSC,Werder Bremen,2,1,H,10,14,6,4,16,20,4,2,1,2,0,0,2.89,3.5,2.37
Augsburg,Bayern Munich,1,4,A,7,12,1,7,19,8,1,6,3,1,0,0,6.5,4.33,1.5
Freiburg,Mainz 05,1,1,D,15,12,8,4,13,19,8,3,4,5,0,1,2,3.5,3.75
Hamburger SV,Wolfsburg,0,2,A,13,11,1,2,16,14,9,3,0,1,0,0,2.5,3.1,3.1
Hannover 96,Schalke 04,3,2,H,18,7,7,4,16,15,8,1,2,2,0,0,4.33,3.39,1.9
M'Gladbach,Hoffenheim,2,1,H,10,13,3,6,13,20,4,5,1,2,0,0,1.7,3.5,5.75
Dortmund,Stuttgart,3,0,H,18,12,12,6,12,15,5,7,1,4,0,0,1.61,4,5.5
Eint Frankfurt,Köln,1,1,D,15,10,5,3,13,8,8,3,0,2,0,0,2.39,3.39,3
RB Leipzig,Leverkusen,1,4,A,19,13,4,7,8,7,8,9,0,0,0,0,2.29,3.5,3
Wolfsburg,Augsburg,0,0,D,17,9,4,2,18,17,7,5,2,4,1,1,2.14,3.29,3.6
Bayern Munich,M'Gladbach,5,1,H,20,4,11,1,9,9,6,0,2,1,0,0,1.33,5.75,8
Hoffenheim,Freiburg,2,1,H,13,13,6,2,13,11,6,8,1,3,0,0,1.95,3.6,3.79
Köln,Hannover 96,2,0,H,21,13,6,5,8,10,7,8,1,2,0,0,1.5,4.33,6.5
