HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Sassuolo,Genoa,5,3,H,10,11,8,8,12,20,2,10,3,3,0,0,2.1,3.3,3.75
Torino,SPAL,1,0,H,10,8,7,3,16,16,9,10,1,2,0,0,1.66,3.75,5.5
Frosinone,Sampdoria,0,5,A,6,10,2,7,12,15,5,3,3,1,0,0,3.5,3.4,2.1
Inter,Parma,0,1,A,24,8,11,6,10,8,10,1,2,2,0,0,1.25,6,12
Napoli,Fiorentina,1,0,H,19,7,5,3,13,15,10,3,1,4,0,0,1.57,4.2,5.75
Cagliari,Milan,1,1,D,7,12,3,7,12,13,3,8,1,1,0,0,5,3.6,1.75
Empoli,Lazio,0,1,A,10,16,3,9,13,11,4,7,2,3,0,0,5,3.8,1.7
Genoa,Bologna,1,0,H,10,8,5,2,13,19,5,3,2,5,0,1,1.9,3.25,4.5
Juventus,Sassuolo,2,1,H,16,10,6,6,12,13,10,4,3,3,1,0,1.2,7,13
Roma,Chievo,2,2,D,15,10,9,5,10,15,9,2,1,1,0,0,1.22,6.5,13
Udinese,Torino,1,1,D,7,9,3,4,16,14,3,8,2,2,0,0,2.9,3.25,2.5
SPAL,Atalanta,2,0,H,13,13,6,4,14,16,4,4,3,5,0,0,4,3.5,1.95
Sampdoria,Fiorentina,1,1,D,8,14,4,9,14,15,4,6,3,2,0,0,2.87,3.25,2.54
Sassuolo,Empoli,3,1,H,20,16,10,11,15,9,5,4,1,4,0,1,2.1,3.3,3.6
Fiorentina,SPAL,3,0,H,15,5,5,2,8,11,11,1,1,2,0,0,1.61,3.6,6.5
Parma,Cagliari,2,0,H,14,9,8,3,17,5,4,11,2,1,0,0,2.4,3.2,3.1
Sampdoria,Inter,0,1,A,9,14,4,5,12,14,3,12,3,2,0,0,4.33,3.8,1.8
Bologna,Roma,2,0,H,7,20,2,9,8,13,1,10,2,4,0,0,5.5,3.75,1.66
Chievo,Udinese,0,2,A,10,9,4,7,18,10,7,3,1,1,0,0,3,3.2,2.5
Frosinone,Juventus,0,2,A,2,18,0,8,16,8,3,5,3,1,0,0,13,7.5,1.16
Lazio,Genoa,4,1,H,16,8,8,4,9,7,5,3,1,2,0,0,1.44,4.33,8
Milan,Atalanta,2,2,D,14,13,8,8,7,4,4,3,2,1,0,0,2.04,3.5,3.6
Torino,Napoli,1,3,A,9,13,3,8,14,17,4,6,2,3,0,0,4.5,3.8,1.75
Inter,Fiorentina,2,1,H,11,11,3,8,18,20,6,3,1,3,0,0,1.66,3.8,5.5
Atalanta,Torino,0,0,D,11,3,4,0,13,15,11,1,2,1,0,0,1.8,3.6,4.5
Cagliari,Sampdoria,0,0,D,10,10,2,5,16,22,7,3,1,3,0,0,2.5,3.3,2.87
Genoa,Chievo,2,0,H,11,8,5,2,11,17,7,4,4,4,0,0,1.8,3.4,5
Juventus,Bologna,2,0,H,15,5,9,2,10,13,3,0,2,3,0,0,1.16,7.5,17
Napoli,Parma,3,0,H,20,2,8,0,9,13,2,2,0,3,0,0,1.22,6,15
Roma,Frosinone,4,0,H,18,8,13,3,13,8,4,3,0,1,0,0,1.2,7,13
Udinese,Lazio,1,2,A,10,5,6,2,7,17,6,4,2,6,0,0,4.2,3.75,1.85
Empoli,Milan,1,1,D,4,16,3,11,12,9,3,10,2,2,0,0,5.25,3.75,1.7
SPAL,Sassuolo,0,2,A,6,10,2,5,16,12,6,7,1,0,0,0,2.54,3.2,2.9
Inter,Cagliari,2,0,H,12,4,8,1,13,11,9,4,1,4,0,0,1.33,5,10
Juventus,Napoli,3,1,H,14,9,9,6,14,11,7,4,3,5,0,1,1.8,3.6,4.75
Roma,Lazio,3,1,H,10,11,7,5,11,10,8,9,3,1,0,0,2.37,3.5,2.9
Bologna,Udinese,2,1,H,11,10,6,2,7,12,3,4,2,4,0,0,2.5,3.1,3.1
Chievo,Torino,0,1,A,8,13,3,5,15,17,3,8,3,3,0,0,3.75,3.2,2.1
Fiorentina,Atalanta,2,0,H,6,11,4,4,12,10,5,6,3,3,0,0,2.25,3.3,3.25
Frosinone,Genoa,1,2,A,13,7,6,5,21,18,5,2,3,2,0,0,3.5,3.1,2.25
Parma,Empoli,1,0,H,7,10,3,6,13,8,2,12,2,3,0,0,2.3,3.2,3.3
Sassuolo,Milan,1,4,A,8,10,2,10,14,11,9,5,1,1,0,0,3.3,3.4,2.2
Sampdoria,SPAL,2,1,H,16,10,9,4,13,18,6,5,3,3,0,0,1.8,3.6,4.33
Torino,Frosinone,3,2,H,15,8,10,4,16,17,2,4,3,3,0,0,1.36,4.75,9
Cagliari,Bologna,2,0,H,8,10,5,4,8,16,4,4,2,4,0,0,2.04,3.25,3.8
Empoli,Roma,0,2,A,11,7,4,4,13,10,4,3,2,1,0,0,5.5,4,1.61
Udinese,Juventus,0,2,A,5,13,4,7,14,13,4,8,3,1,0,0,9,4.75,1.36
Atalanta,Sampdoria,0,1,A,15,6,6,3,17,13,9,4,2,4,0,0,1.6,4,5.5
Genoa,Parma,1,3,A,20,7,13,5,9,9,9,7,1,1,0,0,1.75,3.75,4.75
Lazio,Fiorentina,1,0,H,11,10,5,6,18,10,5,6,5,3,0,0,1.85,3.75,4.2
Milan,Chievo,3,1,H,14,4,7,2,9,12,12,7,1,1,0,0,1.25,5.75,12
Napoli,Sassuolo,2,0,H,12,10,7,7,11,8,4,4,2,2,0,1,1.33,5.25,9
SPAL,Inter,1,2,A,9,6,6,4,13,20,10,9,6,2,0,0,6,3.8,1.61
Juventus,Genoa,1,1,D,13,5,4,2,10,15,8,2,1,3,0,0,1.2,7,13
Roma,SPAL,0,2,A,13,5,9,5,14,5,8,9,3,5,0,1,1.33,5.5,8.5
Udinese,Napoli,0,3,A,7,9,4,4,11,9,3,5,3,4,0,0,6,3.9,1.6
Bologna,Torino,2,2,D,6,12,3,8,9,21,3,4,2,2,0,0,3.4,3.3,2.2
Chievo,Atalanta,1,5,A,3,15,2,8,12,15,1,2,3,1,1,0,6,4,1.57
Fiorentina,Cagliari,1,1,D,7,8,3,5,13,19,6,7,0,2,0,0,1.5,4.5,6
Frosinone,Empoli,3,3,D,5,15,4,10,13,16,6,8,2,3,0,0,2.9,3.25,2.5
Inter,Milan,1,0,H,14,9,7,2,13,7,9,4,2,5,0,0,2.45,3.25,3
Parma,Lazio,0,2,A,3,15,1,9,5,11,2,8,2,3,0,0,5.5,3.8,1.66
Sampdoria,Sassuolo,0,0,D,7,7,2,2,10,18,4,3,2,3,0,0,2.2,3.3,3.4
Atalanta,Parma,3,0,H,21,9,14,5,6,8,6,6,0,2,0,0,1.33,5.25,9
Empoli,Juventus,1,2,A,6,12,4,7,13,17,6,10,2,3,0,0,12,5.75,1.25
Torino,Fiorentina,1,1,D,12,8,4,5,13,20,4,5,2,4,0,0,2.4,3.25,3.1
Cagliari,Chievo,2,1,H,12,12,4,5,16,15,8,2,1,6,0,0,1.61,3.8,6
Genoa,Udinese,2,2,D,11,11,5,8,17,18,4,8,5,4,1,0,2.1,3.2,3.8
Milan,Sampdoria,3,2,H,8,3,7,2,11,9,5,1,3,2,0,0,1.5,4.33,6.5
Napoli,Roma,1,1,D,18,7,6,5,7,6,17,3,0,5,0,0,1.72,3.75,4.75
Sassuolo,Bologna,2,2,D,11,10,6,6,20,19,9,5,2,3,0,0,1.9,3.25,4.5
SPAL,Frosinone,0,3,A,10,5,5,4,15,11,9,1,3,6,0,0,1.8,3.75,4.5
Lazio,Inter,0,3,A,11,13,4,7,14,10,7,6,3,3,0,0,2.4,3.4,3
Milan,Genoa,2,1,H,19,7,10,2,11,17,7,2,2,2,0,0,1.44,4.5,7.5
Napoli,Empoli,5,1,H,19,8,13,4,8,7,0,7,0,2,0,0,1.2,7,15
Fiorentina,Roma,1,1,D,11,11,3,6,9,20,3,6,3,3,0,0,2.7,3.4,2.6
Inter,Genoa,5,0,H,17,8,10,3,7,15,11,6,2,3,0,0,1.36,5,9
Juventus,Cagliari,3,1,H,11,4,5,3,10,15,5,4,1,3,0,0,1.16,7.5,17
Bologna,Atalanta,1,2,A,9,12,5,6,7,12,1,4,1,2,0,0,5,3.7,1.72
Chievo,Sassuolo,0,2,A,1,8,1,4,20,16,3,2,5,2,1,0,3.6,3.4,2.1
Lazio,SPAL,4,1,H,18,5,11,3,7,8,8,4,1,3,0,0,1.33,5.25,10
Parma,Frosinone,0,0,D,9,9,1,1,14,15,3,7,1,4,1,0,1.95,3.5,4
Sampdoria,Torino,1,4,A,10,15,4,8,13,25,0,2,2,2,0,0,2.7,3.2,2.7
Udinese,Milan,0,1,A,11,15,4,9,11,13,4,7,3,3,1,0,4.2,3.5,1.9
Frosinone,Fiorentina,1,1,D,5,16,3,10,8,12,4,5,3,0,0,0,5.25,3.6,1.7
Genoa,Napoli,1,2,A,8,13,3,7,15,6,2,7,4,2,0,0,7,4.5,1.44
SPAL,Cagliari,2,2,D,8,11,4,3,13,15,1,6,2,4,0,0,2.45,3.1,3.1
Torino,Parma,1,2,A,12,11,4,7,14,17,7,7,2,4,0,0,1.44,4.2,8.5
Atalanta,Inter,4,1,H,16,6,10,2,11,13,9,6,3,5,0,1,2.75,3.3,2.6
Chievo,Bologna,2,2,D,12,12,6,6,15,18,5,6,3,3,0,0,2.9,3.2,2.6
Empoli,Udinese,2,1,H,9,22,5,9,6,11,4,13,2,2,0,0,2.2,3.3,3.5
Milan,Juventus,0,2,A,5,12,2,8,16,9,2,5,3,1,1,0,4.75,3.75,1.72
Roma,Sampdoria,4,1,H,10,4,6,3,8,10,7,7,1,1,0,0,1.44,4.5,7
Sassuolo,Lazio,1,1,D,9,7,4,3,15,21,2,6,4,3,0,0,4,3.5,1.95
Inter,Frosinone,3,0,H,25,5,14,4,11,11,11,0,1,3,0,0,1.25,6,12
Juventus,SPAL,2,0,H,12,8,8,1,20,11,6,3,1,3,0,0,1.14,8,19
Udinese,Roma,1,0,H,8,23,3,9,6,10,0,12,2,0,0,0,4.5,3.6,1.83
Bologna,Fiorentina,0,0,D,8,11,4,6,11,21,4,9,3,1,0,0,4,3.3,2.04
Empoli,Atalanta,3,2,H,12,8,8,5,12,9,7,3,2,2,0,1,5.25,4,1.66
Genoa,Sampdoria,1,1,D,10,6,5,2,17,15,7,6,2,1,0,0,2.6,3.3,2.75
Lazio,Milan,1,1,D,16,9,6,4,10,4,9,4,1,1,0,0,1.85,3.75,4.2
Napoli,Chievo,0,0,D,17,7,10,3,11,13,20,2,2,2,0,0,1.12,9,19
Parma,Sassuolo,2,1,H,10,12,4,5,14,14,2,3,3,4,0,0,3.1,3.4,2.3
Cagliari,Torino,0,0,D,3,8,1,5,12,13,3,4,2,0,0,0,2.9,3.2,2.54
