HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Hellas Verona,Crotone,0,3,A,10,9,2,5,13,15,5,1,1,5,1,0,2.1,3.25,3.75
Juventus,Genoa,1,0,H,15,3,5,0,23,17,4,3,1,5,0,0,1.19,6.5,17
Lazio,Udinese,3,0,H,11,12,7,4,8,5,3,6,0,2,0,0,1.5,4.33,6.5
Sampdoria,Roma,1,1,D,13,20,3,4,10,12,6,7,1,3,0,0,4,3.6,1.9
Chievo,Juventus,0,2,A,1,16,1,7,9,11,2,4,2,2,2,0,10,5,1.33
Sassuolo,Atalanta,0,3,A,10,17,1,10,11,11,5,7,2,0,1,0,3.39,3.29,2.2
Crotone,Cagliari,1,1,D,13,6,6,3,18,15,9,4,2,2,0,1,2.39,3.1,3.2
Fiorentina,Hellas Verona,1,4,A,28,8,6,5,13,16,11,3,3,4,0,0,1.28,5.5,11
Genoa,Udinese,0,1,A,19,6,2,1,11,17,10,3,2,0,0,1,2.14,3.1,3.79
Milan,Lazio,2,1,H,11,13,5,4,8,14,4,3,2,6,0,0,2.39,3.5,2.89
Napoli,Bologna,3,1,H,9,10,4,5,7,13,7,3,1,2,0,0,1.18,7.5,15
Roma,Sampdoria,0,1,A,19,15,8,10,8,7,10,10,2,2,0,0,1.39,5,7.5
SPAL,Inter,1,1,D,12,10,3,6,7,26,4,6,1,0,0,0,5.5,3.79,1.66
Torino,Benevento,3,0,H,14,6,5,1,14,10,6,3,2,1,0,1,1.44,4.75,7
Inter,Crotone,1,1,D,11,11,2,2,14,8,7,4,1,3,0,0,1.3,5.25,11
Sampdoria,Torino,1,1,D,9,14,3,5,15,19,6,4,3,4,0,1,2.39,3.39,2.89
Atalanta,Chievo,1,0,H,24,4,4,0,11,14,10,3,0,1,0,0,1.36,4.75,9.5
Benevento,Napoli,0,2,A,14,17,4,5,4,6,4,5,1,0,0,0,17,7,1.18
Bologna,Fiorentina,1,2,A,8,11,4,6,11,12,4,4,2,1,0,0,3.39,3.29,2.2
